respondent,respondent-name,type,type-name,timezone,timezone-description,energy_demand_MW,value-units,city,date
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,136060,megawatthours,Phoenix,2025-07-19
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,141754,megawatthours,Phoenix,2025-07-18
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,139812,megawatthours,Phoenix,2025-07-17
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,134198,megawatthours,Phoenix,2025-07-16
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,145208,megawatthours,Phoenix,2025-07-15
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,144670,megawatthours,Phoenix,2025-07-14
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,138591,megawatthours,Phoenix,2025-07-13
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,143389,megawatthours,Phoenix,2025-07-12
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,154112,megawatthours,Phoenix,2025-07-11
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,157730,megawatthours,Phoenix,2025-07-10
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,160374,megawatthours,Phoenix,2025-07-09
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,153892,megawatthours,Phoenix,2025-07-08
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,147015,megawatthours,Phoenix,2025-07-07
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,136565,megawatthours,Phoenix,2025-07-06
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,130207,megawatthours,Phoenix,2025-07-05
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,123912,megawatthours,Phoenix,2025-07-04
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,126956,megawatthours,Phoenix,2025-07-03
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,144476,megawatthours,Phoenix,2025-07-02
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,155783,megawatthours,Phoenix,2025-07-01
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,153236,megawatthours,Phoenix,2025-06-30
AZPS,Arizona Public Service Company,D,Demand,Arizona,Arizona,144180,megawatthours,Phoenix,2025-06-29
SCL,Seattle City Light,DF,Day-ahead demand forecast,Arizona,Arizona,23969,megawatthours,Seattle,2025-07-29
SCL,Seattle City Light,D,Demand,Arizona,Arizona,23791,megawatthours,Seattle,2025-07-28
SCL,Seattle City Light,D,Demand,Arizona,Arizona,21883,megawatthours,Seattle,2025-07-27
SCL,Seattle City Light,D,Demand,Arizona,Arizona,21181,megawatthours,Seattle,2025-07-26
SCL,Seattle City Light,D,Demand,Arizona,Arizona,22652,megawatthours,Seattle,2025-07-25
SCL,Seattle City Light,D,Demand,Arizona,Arizona,23383,megawatthours,Seattle,2025-07-24
SCL,Seattle City Light,D,Demand,Arizona,Arizona,24213,megawatthours,Seattle,2025-07-23
SCL,Seattle City Light,D,Demand,Arizona,Arizona,24378,megawatthours,Seattle,2025-07-22
SCL,Seattle City Light,D,Demand,Arizona,Arizona,24051,megawatthours,Seattle,2025-07-21
SCL,Seattle City Light,D,Demand,Arizona,Arizona,21332,megawatthours,Seattle,2025-07-20
SCL,Seattle City Light,D,Demand,Arizona,Arizona,21489,megawatthours,Seattle,2025-07-19
SCL,Seattle City Light,D,Demand,Arizona,Arizona,23662,megawatthours,Seattle,2025-07-18
SCL,Seattle City Light,D,Demand,Arizona,Arizona,25557,megawatthours,Seattle,2025-07-17
SCL,Seattle City Light,D,Demand,Arizona,Arizona,27180,megawatthours,Seattle,2025-07-16
SCL,Seattle City Light,D,Demand,Arizona,Arizona,26321,megawatthours,Seattle,2025-07-15
SCL,Seattle City Light,D,Demand,Arizona,Arizona,25822,megawatthours,Seattle,2025-07-14
SCL,Seattle City Light,D,Demand,Arizona,Arizona,24864,megawatthours,Seattle,2025-07-13
SCL,Seattle City Light,D,Demand,Arizona,Arizona,24080,megawatthours,Seattle,2025-07-12
SCL,Seattle City Light,D,Demand,Arizona,Arizona,23941,megawatthours,Seattle,2025-07-11
SCL,Seattle City Light,D,Demand,Arizona,Arizona,22212,megawatthours,Seattle,2025-07-10
SCL,Seattle City Light,D,Demand,Arizona,Arizona,23118,megawatthours,Seattle,2025-07-09
SCL,Seattle City Light,D,Demand,Arizona,Arizona,25706,megawatthours,Seattle,2025-07-08
SCL,Seattle City Light,D,Demand,Arizona,Arizona,25144,megawatthours,Seattle,2025-07-07
SCL,Seattle City Light,D,Demand,Arizona,Arizona,21980,megawatthours,Seattle,2025-07-06
SCL,Seattle City Light,D,Demand,Arizona,Arizona,21301,megawatthours,Seattle,2025-07-05
SCL,Seattle City Light,D,Demand,Arizona,Arizona,20871,megawatthours,Seattle,2025-07-04
SCL,Seattle City Light,D,Demand,Arizona,Arizona,21534,megawatthours,Seattle,2025-07-03
SCL,Seattle City Light,D,Demand,Arizona,Arizona,23727,megawatthours,Seattle,2025-07-02
SCL,Seattle City Light,D,Demand,Arizona,Arizona,25664,megawatthours,Seattle,2025-07-01
SCL,Seattle City Light,D,Demand,Arizona,Arizona,25683,megawatthours,Seattle,2025-06-30
SCL,Seattle City Light,D,Demand,Arizona,Arizona,22143,megawatthours,Seattle,2025-06-29
